input_text	target_text
 right 'a'and palm facing backwardis thumped against the forehead.alternate slgn —ignorant	A
 rightextended a hand is held infront of the mouth with palm facing left. theforearm is then tipped firmly downward/leftward causing the palm to face downward.or	extended-A
 back of right 'd'and is placedunder the chin with fingers pointing leftwardand the hand is pulled firmly to the right.	B1
 drum played with drumsticks—'closed a-index'ands are held apart withpalms facing the body and are alternatelyraised and lowered from the wrists as ifdrumming on a snare drum.	closed-A-index
 right 'c'and is held in a horizontalposition near the mouth with palm facing left.the hand is then tipped upward slightly.	C
 5 hands are held parallel with palmsup at about face level with arms extendedaway from the body. the hands then movesimultaneously toward the body as if openinga drawer. motion is repeated.drawn	S
. sometimes this movement takes a clock-wise path in a horizontal plane in front of the	extended-B
 right 'spread extended c'and is heldnear the head with the palm toward the faceand is moved in clockwise (from the onlooker'sperspective) circles as the head lolls and theeyes are rolled slightly.the canadian dictiqnary qf asldo — document	crooked-5
b (or bent extended b') hands areplaced at either side of the head with palmsforward and fingers simultaneously movingup and down to represent flapping ears.	B1
 with palm facing right leftextendeda'andis held in front of right 'extendeda'andof which the palm faces left. the righthand is then drawn downward along thelength of the left thumb.each o	extended-A
 left one hand is held in a fixedposition with palm down and forefingerpointing forwar%ightward. right 't'andwith palm down is moved forward/rightwardalong the length of the left forefinger.	1
 left 'u'and is held palm down withextended fingers pointing forward/rightward.right 'u'or 'crooked u') hand is held palmdown just above the left hand and at rightangles to it. the extended fingers of the righthand are then tapped a couple of times onthose of the left.	modified-O
 left 'u'and is held in a fixed positionwith palm down and extended fingers point-ing rightward/forward. beside it is the right'u'and which is held with palm facing leftand extended fingers pointing forward(leftward. the right wrist then rotates to turnthe hand palm down as the extended fingerscome to rest on those of the left hand at rightangles to them.put one ovef o	8
 vertical right 'c'and with the palmfacing left is positioned in front of the noseand is curved downward and forward.	C
 right combined ly hand is held palmdown with extended fingers pointing for-ward/leftward. the forearm then movesupward at a forward/rightward angle thepalm of the hand eventually facingupward/rightward. (	5
choice varies consid-erably depending on the size and shape ofthe object and the manner in which it isascending.)	extended-B
 righte (or 'crooked extended b')hand palm down is placed at left shoulder.as the right wrist then rotates in a clockwisedirection an arc is formed as the hand movesforward and downward coming to rest on theleft bicep with palm upward at a slight back-ward angle. (	E
ed to givepractice or training in a specific skill. theteacher as	S
f hands are held horizontally withpalms facing each other and are alternatelymoved backward and forward a few times.same	F
 rightextended 8 hand is held justin front of the right shoulder with palm leftand fingers pointing forward/upward. thearm is then extended as the hand is thrust for-ward in a large arc formation ending up withthe fingers pointing forward. (express inthis context may be fingerspelled.)226expression — extinguishe	extended-B
 tips of the joined thumbs and fore-fingers of vertical 'f'ands palms facing eachother at a forward angle are placed together.the wrists then rotate outward causing thehands to move apart and turn so that the tipsof the little fingers come together and thepalms are facing the body.	F
 horizontal '4'ands are held withpalms facing the body and tips of fingertipsvery close perhaps touching. the hands arethen drawn apart.	4
 horizontal 'extended a'ands are heldslightly apart with palms toward the body.the hands are then brought together so thatthe knuckles strike against each other a coupleof times.273gang —garment	extended-A
 fingertips of right 'bent extended8'andpalm toward the body are placedagainst the right shoulder while the left 'bentextended 8 hand palm toward the body isheld a short distance in front of it. then bothhands are circled forward around one anotherseveral times.ay	bent-extended-B
 horizontal right 'c'or 'extended c')hand palm toward the body is held in frontof the neck. then it is drawn upward/forwardto indicate the length of a giraffe's neck.	C
 thumbtip of rightextended a'andpalm left is placed on the right cheek and isstroked forward/downward. motion may berepeated.a	extended-A
vary according to the size and shape ofthe object being given; however the basicmovement remains the same.) c~	X
 'crooked l'ands palms facing eachother are held in a vertical position besideeach eye. the forearms then move outwardand inward slightly a few times so that thethumbtips tap against the cheeks.(alternatively the right hand only is fre-quently used.)	crooked-L
 right modified g hand palm facingleft is held in a vertical position at the leftside of the chin and the thumb and forefingerare opened and closed rapidly several times asthe hand is drawn to the right.	modified-g
 wrist of right contracted 5 handpalm down is firmly grasped by the left hand.then the right hand is moved from side toside several times. (	contracted-5
 horizontal 'mooififd g'ands palmsfacing each other are held close together andwobble slightly as they are then drawn apart.	modified-g
 thumb of vertical right '5'andpalm facing left is placed in centre of fore-head. as the hand is then moved forward intwo successive short arcs it becomes horizon-tal with fingers pointing forward.	5
 [atlantic] right '5'and slightlyopen palm facing left is brought downfirmly from the chin as it closes. next left'extended b'and is held in a fixed positionwith palm up and fingers pointing forward/rightward. right 'm'or 'ex'tendeo b') hand isheld palm down with fingers pointing forward/leftward as they are tapped once or twice onthe palm of the left hand.(asl concept —old - mother.)slgn ¹3 [qntariq] vertical right 'm'andpalm facing leftward/forward is held nearlower right jaw and the three uncovered fin-gers are moved up and down a few times asthe fingertips brush downward against thelower right cheek.	5
 joined thumb and forefinger of verticalright 'f'or 'closed x') hand palm left aretapped a couple of times against the right sideof the lips.slgn ¹1 right 'crooked it'and is held withthe back against the mouth and is slitheredforward to simulate the movement of a snake.or	crooked -4
 horizontal right '3'and is heldwith palm left and thumbtip against the lowerlip. the hand is then slithered forward tosimulate the movement of a snake.	crooked-5
er is saluting someone. (if more than oneperson is being greeted the hands salute alter-nately several times.)	extended-B
 vertical 'crooked 5'ands are heldslightly apart with palms toward the face. thehands are then simultaneously lowered some-what and the head tilts to the right. facialexpression is an important feature of this	crooked-5
 horizontal left 's'and is held in afixed position with palm facing rightward.horizontal right 's'and is held above lefthand with palm facing leftward but slantedslightly toward the body. the right forearmthen moves in a counter-clockwise directioncompleting a least two revolutions. (	S
s inthis context vary according to the size andshape of the grinding apparatus as well as thenature of the action required to operate it.)	A
s hands palms toward the body areheld at chest level with the left slightly abovethe right. then the right is brought upward tostrike the left.stand up	1
 '5'ands palms facing backward movebackward with fingers fluttering until theycome to rest close to either side of the face.	5
 sides of thumb and forefinger of rightmodified g'and (or side of forefinger ofright 'one'and) palm facing leftward/downward are (is) firmly placed against theleft side of the chest just below the shoulder.when referring to guilt as a 'feeling' the samebasic	modified-g
 [atlantic] thumbtip of right'crooked l'or crooked extended v ) handis placed on the right cheek so that the palmfaces forward/leftward at a downward angle.while the thumb maintains contact with thecheek the wrist bends a few times as the handappears to make forward rotations.	crooked-L
 [ontario] side of forefinger of verti-cal right 'x'and palm facing leftward isbrushed downward/leftward against the chinat least twice.~	X
 vertical 'crooked 5'ands are extendedfrom the body and held parallel with palmsfacing but slanted forward slightly. they thenmove downward simultaneously in a wavingmotion as if actually frisking someone.	crooked-5
 right 'extended 8'and is held palmdown with fingers pointing forward/leftwardas they are placed on the upturned palm ofthe leftextended 8'and of which thefingers point slightly forward and to the right.right hand is then flipped over so that palmfaces up.froz	extended-B
 vertical right 'f'and palm facing for-ward is shaken several times from the wrist.(in english funutut'e may be either singular orplural. there is never an 's'dded to this word.)	F
 rightextended 8'and palm facingleft is held in a vertical position near the rightside of the head. the forearm is then movedforward a short distance so that the fingerseventually point forward/upward.ga —game	extended-B
 horizontal left 'extended 8'and isheld with fingers pointing rightward/forwardand palm facing rightward but angled slightlytoward the body as tip of forefinger of rightone hand palm down strikes downwardacross left palm.orwes	extended-B
 'bent one hands are held by the rightcheek with palms facing each other and fore-fingers pointing toward one another. thenthey are sharply stabbed toward each other atleast twice.toothbrus	bent-1
bent one'ands are held slightly apartin front of the forehead with palms facingeach other at a downward angle and fore-fingers pointing toward each other. the handsare then sharply stabbed toward each other atleast twice. (the face winces in obvious painand the teeth are visible as the	bent-1
 horizontalbent extended b hands areheld apart with fingertips touching either sideof upper chest. the hands are then simultane-ously drawn forward slightly and downwardin an arc formation re-establishing contactwith the body at a somewhat lower level.	bent-extended-B
 tip of forefinger of right one handpalm left is tapped against right ear.	1
bent extended b hands are held uphigh with palms facing and are circled forwardso that the fingers of each hand revolvearound those of the other hand. the handsare then drawn apart. (movement for this	extended-B
 side of forefinger of vertical right'b'andpalm facing left is placed against rightside of forehead. the forearm is then movedforward/rightward as the hand tips forward/rightward from the wrist so that the fingerspoint in the same direction as if the	B1
 right 'inodified g'and is held atchin palm facing forward while extendedfingers are opened and closed at least twiceto simulate the movement of a chicken's beak.(hen is frequently fingerspelled.)regiqnal variatiqn —chicken ¹z	modified-g
 (used occasionally) upturned palmof rightextended b'and is placed underthe bent elbow of the left arm. together thearms are raised slightly.	3
 'extended b'ands are held parallelwith palms up and are simultaneously circledoutward.	extended-B
 [atlantic]; verticalb hands touchas they are held left in front of right directlyin front of the face the left palm facing rightand the right palm facing left as the headmoves slightly rightward as if peeking outfrom behind the hands.hide-and-	B1
 tip of forefinger of horizontal right'4'andpalm facing downward is placed on thenose and the hand is curved rightward fromthe wrist away from the face.ill at	4
modified 0 hands which are heldparallel with palms down are simultaneouslylowered and then raised as if dipping some-thing into a liquid.	modified-O
 right 'y'and palm down is tappedsmartly on the upturned left palm.	Y
 tip of forefinger of right 'bent l'andis jabbed into upper left arm and thumb isrepeatedly bent and extended as thoughdepressing a plunger into a syringe.	bent-L
 tips of extended fingers of 'u'andspalms toward the body are placed at eitherside of the mouth and the hands are simulta-neously thrust forward/downward so thatpalms face upward.same	U
 vertical 'i'ands left palm facing rightand right palm facing left are held apart sothat tips of little fingers are about level withthe chin or mouth. the hands are then alter-nately moved straight back and forth.350into — inuit	I
bent extended 8 hands are held apartwith palms facing each other and fingers ofeach hand pointing toward those of the otherhand. the hands are then drawn closertogether.nut35&invade — investmentinv	bent-extended-B
 rightbent extended b hand is heldout in front of the body with fingers pointingleftward and palm facing the body but angledupward slightly. the hand is then drawn intoward the chest. c~same	bent-extended-B
 vertical right one'and palm facingthe body is moved in a small counter-clockwise circle.same	1
 fingertips of right spread extendedc'andpalm down are used to scratch the backof the left forearm. (this	crooked-5
 horizontal leftextended 8 handis held in a fixed position with palm facingrightward/backward. thumb and forefingerof right 'closed x hand move forward/rightward twice along the palm of the left hand	F
crooked 5'ands are held apartwith palms up and are alternately movedup and down to simulate the act of tossingand catching.	crooked-5
 horizontal 'spread extended c'andspalms toward the chest are held so that thefingers are meshed. then the hands aresimultaneously moved back and forth fromthe wrists without unhinging the fingers.(handshapes may vary. alternatively hingemay be fingerspelled.)	crooked-5
 vertical right 'extended b'and palmfacing forward/rightward is held in front ofthe right shoulder and moved slightly in thedirection of the person or animal beingreferred to.h)stor)	extended-B
 right 's'and is clenched with palmupward but slanted toward the body and ismoved in what appear from the	S
 hands are held at right angles toone another as downturned palm of rightextended b'and is smoothed rightward/forward across upturned palm of left'extended b hand.314home — honey	extended-B
fingertips of right modified 0 handare placed against right cheek near the mouthand the hand is then moved back to a positionon the cheek that is nearer the right ear.	modified-O
 vertical right 'open a'and is held withpalm toward the face and backs of fingers(up to the second joint) touching the rightcheek. the hand is then brushed forward offthe cheek a couple of times.hooray [also spelled hurrah]i s.s. anexclamation indicating great pleasure."hooray!" shouted thefans when the winnerwas announced.	closed-A-index
 'l'ands are held palms down withforefingers pointing forward and thumbtipstouching each other. the hands are thendrawn apart.alternate	L
 vertical left 'extended 8'and is heldin a fixed position with palm facing rightwardand slightly forward. right 'one'or 'k')hand is held palm down as it moves forward/downward at a slight leftward angle the fore-finger firmly grazing the left palm. facialexpression is important and the	bent-extended-B
 vertical right a-index hand palm facingleft quivers as thumb and forefinger are usedto grasp skin of right cheek. (leather isfrequently fingerspelled.)	A-index
 right arm is raised and the vertical'extended b'and palm facing left isbrought forward sharply from the wrist acouple of times. (this	extended-B
 s'ands palms toward the body arecrossed at the wrists and are placed againstthe chest. then they are pressed firmly againstthe body while the shoulders are hunched.	S
 thumbtip of right 'extended c'andpalm down is positioned at the centre of theforehead and the hand is brought downwardto clasp left 'extended c'and of which thepalm faces upward.hus	Extended-C
 horizontal right 'k'and with palmfacing left is held above horizontal left handwhich is held with palm facing right. thenright hand is brought purposefully down tostrike left hand.	K
 the vertical right 'k'and palm forwardis shaken from side to side slightly a couple oftimes. (	K
 forefingers of one hands palmsdown are held side by side and alternatelymoved back and forth so that the sides ofthe forefingers brush each other with eachmovement.or	K
 rightextended b (ork ) hand is heldpalm down with fingers pointing forward/leftward as they are placed on the upturnedpalm of the leftextended 8 hand of whichthe fingers point slightly forward and to theright. right hand is then flipped over so thatpalm faces up.	extended-B
 horizontal right 'u'and with palmfacing left is held above and at right angles tohorizontal left 'u'and of which fingers areangled forwar%ightward. extended fingers ofright hand are then brushed forwar%ightwardtwice off the end of extended fingers of lefthand.	U
 forefingers of horizontal one'andspalms facing each other are crossed with theright forefinger resting on the left. then bothhands are moved back and forth to simulate theaction of a pair of knitting needles.	1
'i.'ands palms forward are tappedtogether a couple of times so that the thumb-tips touch.	L
 upright forefinger of right one handpalm facing forward is used to trace a zigzagpattern from in front of the face downwardto simulate a flash of lightning.384like — line	1
 rightcrooked slanted 5'and issuspended just above the head with palmdown and fingers overhanging the forehead.the hand is then curved backward across thetop of the head.	crooked- slanted- 5
 vertical right 'crooked extended bpalm facing forward is used to cup theright ear.	Extended-C
 vertical rightcovered t hand palmfacing left is moved a short distance forward/. downward and back several times while thelips smack as if licking a lollipop.	covered-T
 5 hands are held slightly apart withpalms downward but slanted toward thebody and fingers of each hand pointingtoward those of the other hand. the wriststhen turn causing the hands to dovetail sothat the fingers point directly forward thepalms are down and the right hand is on topof the left. (this	5
 vertical right 'bent one'and isheld with tip of forefinger touching chin andpalm facing leftward but slanted toward thebody. the wrist then rotates turning the handso that the palm fully faces the body. majorin this context is frequently fingerspelled.alternate	bent-1
 right '5'and is held with palm facingleftward/downward fingers pointing upward/leftward and tip of thumb touching the middleof the forehead. the hand is then lowered sothat the tip of the thumb comes to rest at aboutmid-chest. (for man meaning 'people in gen-eral' see mankind.)mani	5
 'extended c'ands are held apart withpalms facing and the right hand slightly abovethe left. the hands are then clasped together.	Extended-C
extended b hands held apart withpalms up and fingers pointing forward arealternately raised and lowered at least twice.	extended-B
 rightbent extended b hand is heldout in front of the body with fingers pointingleftward and palm facing the body but angledupward slightly. the hand is then drawn intoward the chest.	bent-1
y hands are held parallel with palmsdown and tips of thumbs are tapped togetherat least twice.samf	Y
 [atlantic]; left 'u'and is held withextended fingers pointing forward/rightwardand palm facing rightward/backward whileextended fingers of right 'u'and are posi-tioned on and at right angles to fingers of lefthand. then both hands make small back andforth movements as though cutting meat.	U
 vertical 'flat o'ands are held just infront of either side of the forehead with palmsfacing backward and fingers rapidly flutteringas the hands move in small circles. from the	flat-O
 right 's'and palm facing left is heldin front of the mouth or chin while the lipsmove rapidly as if speaking.	S
 horizontal 'c'ands are held rightabove left with left palm facing right andright palm facing left. the right eye appearsto squint as it looks down into the spacecreated by the hands which are twistedinward slightly from the wrists a couple oftimes to simulate the focusing of the lens.	C
 horizontal right '5'and is squeezedand relaxed several times thus alternatingbetween a tight and more loosely held fist.	S
s.s. do not worry; forget aboutit. never mind; itis not important.	crooked-1
 fingers of horizontal 'bentextended b'ands palms facing the chestare alternately brushed back and forth againsteach other.	K
 right 'extended 8'and palm facingthe body is laid against the middle of the chest.minis	extended-B
 left 'extended 8 hand is held palm-down with fingertips pointing right. finger-tips of right palm-downextended 8 handrest on and at right angles to back of left handand are then moved upward from the wrist.	extended-B
 vertical rightextended b'and is heldwith palm toward the face and is rapidlytwisted back and forth from the wrist severaltimes.mis	extended-B
 right 'v'and is held with palmleftward/forward and the tip of the forefingertouching the right side of the forehead. thehand then comes away from the forehead asshort distance as the wrist twists so that thepalm faces backward and the tip of the middlefinger comes to rest on the right side of theforehead.same	V
 horizontal 'y'ands are held slightlyapart with palms down and are simultaneouslycircled slowly in opposite directions the righthand appearing to the	offset-O
 vertical left one hand is held in afixed position with palm forward/rightward.horizontal right one'and palm toward thebody and forefinger pointing leftward ispositioned so that the first joint of the fore-finger is held against the left forefinger anddrawn downward along it.	1
 horizontal left extended a'and isheld in a fixed position with palm facingright. horizontal right extended a hand isheld at a lower level with palm facing left.the right hand then moves upward causingthe knuckles to brush against those of the lefthand on its way up.motel — motorcycle	extended-A
 horizontal 's'ands with palms downare placed so that they appear to be holdingonto the handlebars of a motorcycle. thenthe right hand is moved up and down severaltimes from the wrist as if accelerating.(see also vehicle for explanatory notes.)	S
 left 'v'and is held with palm up andextended fingers pointing forward at a slightrightward angle while right 'v'and is heldjust above the left hand with palm facingleftward at a downward/forward angle andextended fingers pointing leftward/upwardat a slightly forward angle. the hands arebrought together a few times so that the heelsof the hands repeatedly collide.make eyes	A
er is referring to a particular placeon the mouth he/she might just point to thatspecific place. in addition mouth is oftenincorporated in the	1
 horizontal 'crooked s'ands are heldwith palms facing and fingertips touching.the hands are then simultaneously drawnapart.	crooked-5
